Índice	BER
1	4.91381e-01
2	4.91381e-01
3	4.91381e-01
4	4.91381e-01
5	4.91381e-01
6	4.91381e-01
7	4.91381e-01
8	4.91381e-01
9	4.91381e-01
10	4.91381e-01
11	4.91381e-01
12	4.91381e-01
13	4.91381e-01
14	4.91381e-01
15	4.91381e-01
16	4.91381e-01
17	4.91381e-01
18	4.91381e-01
19	4.91381e-01
20	4.91381e-01
21	4.91381e-01
22	4.91381e-01
23	4.91381e-01
24	4.91381e-01
25	4.91381e-01
26	4.91381e-01
27	4.91381e-01
28	4.91381e-01
29	4.91381e-01
30	4.91381e-01
31	4.91381e-01
32	4.91381e-01
33	4.91381e-01
34	4.91381e-01
35	4.91381e-01
36	4.91381e-01
37	4.91381e-01
38	4.91381e-01
39	4.91381e-01
40	4.91381e-01
41	4.91406e-01
42	4.91406e-01
43	4.91406e-01
44	4.91406e-01
45	4.91406e-01
46	4.91406e-01
47	4.91406e-01
48	4.91406e-01
49	4.91406e-01
50	4.91406e-01
